GRE,TOEFL,UNDERGRAD,WORK EX,YEAR,UNIVERSITY,STATUS
280.0,85.0,7.65,14.0,Spring 2020,mit,2
311.0,109.0,8.45,6.0,Spring 2020,mit,2
323.0,106.0,8.96,6.0,Fall 2017,mit,2
330.0,100.0,84.0,24.0,Fall 2018,mit,2
325.0,109.0,9.2,79.0,Fall 2016,mit,2
310.0,106.0,9.04,6.0,Fall 2020,mit,3
313.0,101.0,9.0,60.0,Fall 2019,mit,3
331.0,115.0,8.24,19.0,Fall 2019,mit,3
320.0,116.0,8.7,1.0,Fall 2018,mit,3
321.0,0.0,80.69,48.0,Fall 2018,mit,3
330.0,114.0,7.6,12.0,Fall 2018,mit,3
327.0,0.0,71.0,37.0,Fall 2018,mit,3
325.0,115.0,9.35,3.0,Fall 2017,mit,3
309.0,114.0,9.14,34.0,Fall 2016,mit,3
325.0,108.0,7.5,0.0,Fall 2016,mit,3
326.0,101.0,9.19,48.0,Fall 2016,mit,3
325.0,112.0,8.51,30.0,Fall 2016,mit,3
310.0,100.0,9.0,30.0,Fall 2015,mit,3
312.0,100.0,7.0,6.0,Fall 2016,mit,3
313.0,96.0,75.52,0.0,Fall 2015,mit,3
