GRE,TOEFL,UNDERGRAD,WORK EX,YEAR,UNIVERSITY,STATUS
330.0,101.0,8.96,4.0,Fall 2020,ncsu,2
324.0,107.0,7.39,4.0,Fall 2020,ncsu,2
311.0,105.0,9.34,1.0,Fall 2020,ncsu,2
319.0,106.0,9.1,21.0,Fall 2020,ncsu,2
319.0,107.0,8.38,0.0,Fall 2020,ncsu,2
307.0,93.0,9.0,6.0,Fall 2020,ncsu,2
320.0,101.0,9.02,6.0,Fall 2020,ncsu,2
314.0,114.0,8.8,27.0,Fall 2020,ncsu,2
332.0,114.0,9.21,16.0,Fall 2020,ncsu,2
306.0,8.0,7.7,32.0,Fall 2020,ncsu,2
317.0,101.0,8.28,63.0,Fall 2020,ncsu,2
320.0,106.0,8.74,4.0,Fall 2020,ncsu,2
322.0,114.0,8.9,0.0,Fall 2020,ncsu,2
312.0,104.0,9.72,33.0,Fall 2020,ncsu,2
319.0,107.0,8.12,2.0,Fall 2020,ncsu,2
323.0,98.0,8.37,16.0,Fall 2020,ncsu,2
322.0,112.0,9.77,0.0,Fall 2020,ncsu,2
316.0,107.0,9.15,0.0,Fall 2020,ncsu,2
319.0,114.0,8.43,1.0,Fall 2020,ncsu,2
323.0,112.0,8.5,0.0,Fall 2020,ncsu,2
312.0,114.0,8.05,2.0,Fall 2020,ncsu,2
326.0,108.0,9.36,0.0,Fall 2020,ncsu,2
312.0,114.0,9.22,18.0,Fall 2020,ncsu,2
321.0,109.0,71.27,18.0,Fall 2020,ncsu,2
317.0,103.0,9.4,26.0,Fall 2020,ncsu,2
314.0,94.0,7.73,19.0,Fall 2020,ncsu,2
315.0,107.0,9.25,5.0,Fall 2020,ncsu,2
320.0,104.0,82.0,34.0,Fall 2020,ncsu,2
323.0,108.0,8.6,0.0,Fall 2020,ncsu,2
324.0,110.0,9.18,10.0,Fall 2020,ncsu,2
313.0,103.0,81.83,26.0,Fall 2020,ncsu,2
309.0,96.0,9.6,1.0,Fall 2020,ncsu,2
321.0,102.0,9.1,31.0,Fall 2020,ncsu,2
316.0,103.0,9.23,40.0,Fall 2020,ncsu,2
316.0,95.0,7.68,17.0,Fall 2020,ncsu,2
320.0,103.0,7.8,24.0,Fall 2020,ncsu,2
328.0,108.0,72.1,17.0,Fall 2020,ncsu,2
318.0,106.0,7.95,4.0,Fall 2020,ncsu,2
326.0,114.0,8.18,8.0,Fall 2020,ncsu,2
315.0,102.0,9.31,6.0,Fall 2019,ncsu,2
318.0,89.0,8.0,24.0,Fall 2019,ncsu,2
321.0,114.0,8.1,0.0,Fall 2020,ncsu,2
323.0,114.0,9.16,0.0,Fall 2020,ncsu,2
333.0,114.0,8.1,37.0,Fall 2020,ncsu,2
313.0,98.0,78.0,13.0,Fall 2020,ncsu,2
318.0,110.0,8.83,2.0,Fall 2020,ncsu,2
320.0,0.0,9.4,23.0,Fall 2020,ncsu,2
327.0,108.0,9.35,26.0,Fall 2020,ncsu,2
320.0,101.0,83.0,34.0,Fall 2020,ncsu,2
322.0,101.0,8.54,6.0,Fall 2020,ncsu,2
322.0,106.0,8.43,18.0,Fall 2020,ncsu,2
320.0,110.0,93.4,24.0,Fall 2020,ncsu,2
326.0,115.0,8.98,2.0,Fall 2020,ncsu,2
323.0,107.0,9.18,24.0,Fall 2019,ncsu,2
325.0,112.0,9.0,1.0,Fall 2020,ncsu,2
329.0,110.0,8.73,58.0,Fall 2020,ncsu,2
