GRE,TOEFL,UNDERGRAD,WORK EX,YEAR,UNIVERSITY,STATUS
307.0,109.0,9.27,16.0,Fall 2020,usc,2
329.0,113.0,80.2,25.0,Fall 2020,usc,2
323.0,105.0,9.48,22.0,Fall 2020,usc,2
321.0,110.0,9.98,5.0,Fall 2020,usc,2
311.0,105.0,9.53,4.0,Fall 2020,usc,2
320.0,101.0,9.02,6.0,Fall 2020,usc,2
325.0,110.0,9.29,10.0,Fall 2020,usc,2
328.0,115.0,9.52,8.0,Fall 2020,usc,2
332.0,114.0,9.21,16.0,Fall 2020,usc,2
318.0,101.0,9.18,3.0,Fall 2020,usc,2
321.0,114.0,9.14,20.0,Fall 2020,usc,2
324.0,112.0,9.1,0.0,Fall 2020,usc,2
323.0,107.0,9.18,24.0,Fall 2019,usc,2
321.0,109.0,9.48,0.0,Fall 2020,usc,2
324.0,110.0,79.0,42.0,Fall 2020,usc,2
321.0,112.0,9.59,4.0,Fall 2020,usc,2
324.0,113.0,9.2,15.0,Fall 2019,usc,2
331.0,118.0,9.49,18.0,Fall 2020,usc,2
309.0,109.0,9.5,6.0,Fall 2020,usc,2
320.0,106.0,89.7,8.0,Fall 2020,usc,2
311.0,90.0,9.31,39.0,Fall 2020,usc,2
310.0,114.0,9.57,8.0,Fall 2020,usc,2
314.0,102.0,9.32,14.0,Fall 2020,usc,2
305.0,101.0,9.2,0.0,Fall 2020,usc,2
323.0,105.0,9.44,0.0,Fall 2020,usc,2
327.0,110.0,9.57,4.0,Fall 2020,usc,2
309.0,99.0,9.21,33.0,Fall 2020,usc,2
326.0,119.0,9.52,24.0,Fall 2020,usc,2
316.0,107.0,9.15,0.0,Fall 2020,usc,2
332.0,114.0,8.96,12.0,Fall 2019,usc,2
328.0,117.0,9.12,15.0,Fall 2020,usc,2
318.0,114.0,9.26,9.0,Fall 2020,usc,2
322.0,113.0,9.38,3.0,Fall 2020,usc,2
313.0,101.0,9.71,6.0,Fall 2020,usc,2
321.0,105.0,9.22,16.0,Fall 2020,usc,2
316.0,113.0,9.25,9.0,Fall 2020,usc,2
327.0,116.0,8.82,2.0,Fall 2020,usc,2
312.0,109.0,9.03,0.0,Fall 2020,usc,2
314.0,108.0,9.2,8.0,Fall 2020,usc,2
320.0,110.0,9.6,7.0,Fall 2020,usc,2
324.0,111.0,8.6,6.0,Fall 2020,usc,2
318.0,103.0,9.2,25.0,Fall 2020,usc,2
332.0,104.0,9.4,0.0,Fall 2020,usc,2
319.0,105.0,9.15,2.0,Fall 2020,usc,2
328.0,107.0,84.8,17.0,Fall 2020,usc,2
334.0,118.0,9.18,0.0,Fall 2020,usc,2
306.0,96.0,9.73,7.0,Fall 2020,usc,2
324.0,113.0,9.22,17.0,Fall 2020,usc,2
312.0,109.0,9.87,2.0,Fall 2020,usc,2
310.0,106.0,9.43,5.0,Fall 2020,usc,2
312.0,111.0,9.59,24.0,Fall 2020,usc,2
311.0,107.0,83.0,64.0,Fall 2020,usc,2
314.0,95.0,9.22,9.0,Fall 2020,usc,2
312.0,113.0,9.49,0.0,Fall 2020,usc,2
316.0,114.0,9.17,8.0,Fall 2020,usc,2
320.0,110.0,9.6,22.0,Fall 2020,usc,2
320.0,111.0,9.32,29.0,Fall 2020,usc,2
324.0,107.0,9.38,3.0,Fall 2020,usc,2
331.0,120.0,9.39,4.0,Fall 2020,usc,2
328.0,112.0,9.34,0.0,Fall 2020,usc,2
326.0,108.0,9.36,0.0,Fall 2020,usc,2
310.0,101.0,88.0,24.0,Fall 2020,usc,2
331.0,113.0,9.111,18.0,Fall 2020,usc,2
315.0,102.0,9.31,6.0,Fall 2019,usc,2
328.0,110.0,9.16,0.0,Fall 2020,usc,2
325.0,115.0,94.0,9.0,Fall 2020,usc,2
313.0,107.0,9.15,33.0,Fall 2020,usc,2
310.0,107.0,9.44,6.0,Fall 2020,usc,2
311.0,101.0,83.23,21.0,Spring 2020,usc,2
321.0,111.0,9.21,28.0,Fall 2020,usc,2
321.0,102.0,9.1,31.0,Fall 2020,usc,2
321.0,116.0,80.0,0.0,Fall 2020,usc,2
306.0,101.0,9.5,31.0,Fall 2020,usc,2
323.0,107.0,9.33,0.0,Fall 2020,usc,2
316.0,104.0,9.18,23.0,Fall 2020,usc,2
325.0,112.0,8.36,20.0,Fall 2019,usc,2
319.0,110.0,75.5,16.0,Fall 2020,usc,2
324.0,100.0,9.26,12.0,Fall 2020,usc,2
322.0,110.0,77.25,41.0,Fall 2020,usc,2
324.0,115.0,9.24,31.0,Fall 2020,usc,2
320.0,103.0,9.32,36.0,Fall 2020,usc,2
329.0,117.0,9.45,3.0,Fall 2020,usc,2
324.0,107.0,9.386000000000001,0.0,Fall 2020,usc,2
312.0,93.0,9.13,18.0,Fall 2020,usc,2
