GRE,TOEFL,UNDERGRAD,WORK EX,YEAR,UNIVERSITY,STATUS
319.0,99.0,8.37,3.0,Fall 2020,utd,2
315.0,107.0,8.45,1.0,Fall 2020,utd,2
310.0,105.0,9.01,6.0,Fall 2020,utd,2
321.0,102.0,8.22,57.0,Fall 2020,utd,2
309.0,109.0,9.03,1.0,Fall 2020,utd,2
316.0,114.0,8.921,14.0,Fall 2020,utd,2
314.0,106.0,8.4,12.0,Fall 2020,utd,2
307.0,109.0,8.8,6.0,Fall 2020,utd,2
314.0,93.0,7.71,28.0,Fall 2020,utd,2
312.0,102.0,8.4,15.0,Fall 2020,utd,2
318.0,92.0,9.58,0.0,Fall 2020,utd,2
312.0,97.0,8.47,31.0,Fall 2020,utd,2
306.0,101.0,8.95,2.0,Fall 2020,utd,2
309.0,0.0,81.0,36.0,Fall 2020,utd,2
309.0,96.0,74.36,0.0,Fall 2020,utd,2
314.0,103.0,8.13,34.0,Fall 2020,utd,2
317.0,109.0,8.4,0.0,Fall 2020,utd,2
313.0,110.0,7.1,7.0,Fall 2020,utd,2
311.0,109.0,8.9,0.0,Fall 2020,utd,2
327.0,103.0,8.64,24.0,Fall 2020,utd,2
308.0,92.0,8.31,30.0,Fall 2020,utd,2
312.0,98.0,8.73,4.0,Fall 2020,utd,2
309.0,109.0,9.5,6.0,Fall 2020,utd,2
311.0,90.0,9.31,39.0,Fall 2020,utd,2
321.0,106.0,7.9,28.0,Fall 2020,utd,2
320.0,105.0,7.0,28.0,Fall 2020,utd,2
315.0,114.0,9.12,15.0,Fall 2020,utd,2
319.0,107.0,8.12,2.0,Fall 2020,utd,2
332.0,111.0,8.2,142.0,Fall 2020,utd,2
311.0,104.0,8.84,39.0,Fall 2020,utd,2
312.0,103.0,8.14,26.0,Fall 2020,utd,2
308.0,99.0,9.4,51.0,Fall 2020,utd,2
306.0,93.0,9.63,6.0,Fall 2020,utd,2
313.0,117.0,9.06,22.0,Fall 2020,utd,2
312.0,109.0,9.03,0.0,Fall 2020,utd,2
316.0,105.0,9.32,30.0,Fall 2020,utd,2
310.0,101.0,8.2,0.0,Fall 2020,utd,2
303.0,101.0,9.56,0.0,Fall 2020,utd,2
313.0,103.0,7.58,16.0,Fall 2020,utd,2
313.0,104.0,8.7,14.0,Fall 2020,utd,2
310.0,108.0,9.12,15.0,Fall 2020,utd,2
315.0,110.0,8.52,41.0,Fall 2020,utd,2
318.0,101.0,9.18,3.0,Fall 2020,utd,2
319.0,106.0,8.06,25.0,Fall 2020,utd,2
314.0,93.0,83.0,3.0,Fall 2020,utd,2
313.0,114.0,9.83,0.0,Fall 2020,utd,2
314.0,91.0,6.86,23.0,Fall 2020,utd,2
311.0,100.0,7.54,40.0,Fall 2020,utd,2
308.0,109.0,9.03,9.0,Fall 2020,utd,2
310.0,93.0,8.5,0.0,Fall 2020,utd,2
314.0,101.0,8.45,11.0,Fall 2020,utd,2
313.0,106.0,8.2,9.0,Fall 2020,utd,2
307.0,101.0,9.81,4.0,Fall 2020,utd,2
311.0,98.0,81.0,54.0,Fall 2019,utd,2
317.0,105.0,8.61,20.0,Fall 2020,utd,2
320.0,110.0,8.6,32.0,Fall 2020,utd,2
326.0,117.0,9.6,30.0,Fall 2020,utd,2
307.0,96.0,9.43,60.0,Fall 2020,utd,2
314.0,90.0,75.0,0.0,Fall 2020,utd,2
312.0,98.0,8.8,1.0,Fall 2020,utd,2
308.0,98.0,82.0,24.0,Fall 2020,utd,2
316.0,118.0,8.01,0.0,Fall 2020,utd,2
322.0,114.0,9.3,32.0,Fall 2020,utd,2
310.0,106.0,9.43,5.0,Fall 2020,utd,2
317.0,107.0,9.27,0.0,Fall 2020,utd,2
309.0,96.0,9.31,0.0,Fall 2020,utd,2
311.0,96.0,9.62,0.0,Fall 2020,utd,2
311.0,101.0,7.5,6.0,Fall 2020,utd,2
309.0,101.0,8.25,0.0,Fall 2020,utd,2
300.0,101.0,8.3,0.0,Fall 2020,utd,2
310.0,101.0,7.65,55.0,Fall 2020,utd,2
321.0,114.0,8.1,0.0,Fall 2020,utd,2
315.0,106.0,8.26,28.0,Fall 2020,utd,2
308.0,93.0,8.83,12.0,Fall 2020,utd,2
321.0,105.0,9.22,16.0,Fall 2020,utd,2
310.0,108.0,8.62,16.0,Fall 2020,utd,2
313.0,105.0,8.769,0.0,Fall 2020,utd,2
313.0,114.0,8.3,24.0,Fall 2020,utd,2
311.0,109.0,8.89,12.0,Fall 2020,utd,2
312.0,114.0,7.91,5.0,Fall 2020,utd,2
308.0,107.0,8.98,0.0,Fall 2020,utd,2
311.0,98.0,8.36,3.0,Fall 2020,utd,2
313.0,98.0,78.0,13.0,Fall 2020,utd,2
324.0,114.0,8.11,57.0,Fall 2020,utd,2
316.0,97.0,87.0,0.0,Fall 2020,utd,2
304.0,109.0,8.55,2.0,Fall 2020,utd,2
313.0,93.0,8.66,8.0,Fall 2020,utd,2
314.0,114.0,8.0,1.0,Fall 2020,utd,2
323.0,106.0,8.34,2.0,Fall 2020,utd,2
314.0,91.0,9.28,26.0,Fall 2020,utd,2
316.0,103.0,7.26,32.0,Fall 2020,utd,2
309.0,111.0,8.1,0.0,Fall 2021,utd,2
328.0,113.0,70.45,42.0,Fall 2020,utd,2
321.0,99.0,8.11,29.0,Fall 2020,utd,2
320.0,110.0,9.6,22.0,Fall 2020,utd,2
319.0,104.0,8.67,0.0,Fall 2020,utd,2
320.0,113.0,8.6,0.0,Fall 2020,utd,2
318.0,105.0,83.0,13.0,Fall 2020,utd,2
308.0,95.0,8.66,18.0,Fall 2020,utd,2
320.0,105.0,7.2,5.0,Fall 2020,utd,2
314.0,97.0,8.25,26.0,Fall 2020,utd,2
326.0,110.0,8.75,12.0,Fall 2020,utd,2
311.0,111.0,8.79,28.0,Fall 2020,utd,2
312.0,96.0,8.3,0.0,Fall 2020,utd,2
308.0,93.0,8.62,6.0,Fall 2020,utd,2
325.0,111.0,8.83,13.0,Fall 2020,utd,2
309.0,96.0,9.6,1.0,Fall 2020,utd,2
317.0,106.0,8.43,2.0,Fall 2020,utd,2
319.0,114.0,8.6,16.0,Fall 2020,utd,2
313.0,111.0,83.5,29.0,Fall 2020,utd,2
322.0,106.0,7.0,7.0,Fall 2020,utd,2
313.0,109.0,8.3,0.0,Fall 2020,utd,2
312.0,107.0,8.82,1.0,Fall 2020,utd,2
317.0,102.0,8.22,31.0,Fall 2020,utd,2
318.0,96.0,8.5,40.0,Fall 2020,utd,2
317.0,104.0,7.7,15.0,Fall 2020,utd,2
317.0,98.0,8.97,35.0,Fall 2020,utd,2
308.0,109.0,8.76,45.0,Fall 2020,utd,2
312.0,94.0,8.21,8.0,Fall 2019,utd,2
325.0,104.0,8.82,4.0,Fall 2020,utd,2
318.0,108.0,9.35,21.0,Fall 2020,utd,2
316.0,103.0,8.42,2.0,Fall 2020,utd,2
314.0,106.0,8.4,28.0,Fall 2019,utd,2
313.0,102.0,8.7,8.0,Fall 2020,utd,2
320.0,94.0,77.6,38.0,Fall 2020,utd,2
320.0,104.0,9.09,6.0,Fall 2020,utd,2
310.0,108.0,73.54,24.0,Fall 2020,utd,2
315.0,97.0,7.96,13.0,Fall 2020,utd,2
308.0,94.0,8.4,10.0,Fall 2020,utd,2
311.0,101.0,8.687999999999999,42.0,Fall 2020,utd,2
316.0,100.0,8.5,1.0,Fall 2020,utd,2
316.0,114.0,9.17,8.0,Fall 2020,utd,2
320.0,101.0,7.12,60.0,Fall 2020,utd,2
313.0,107.0,8.66,8.0,Spring 2020,utd,2
312.0,96.0,7.75,19.0,Fall 2020,utd,2
309.0,93.0,8.2,15.0,Fall 2020,utd,2
318.0,97.0,8.67,20.0,Fall 2020,utd,2
305.0,94.0,8.42,22.0,Fall 2020,utd,2
315.0,97.0,76.4,7.0,Fall 2020,utd,2
310.0,109.0,8.43,28.0,Fall 2020,utd,2
309.0,109.0,82.0,12.0,Fall 2020,utd,2
318.0,102.0,9.75,12.0,Fall 2020,utd,2
320.0,109.0,7.5,0.0,Fall 2020,utd,2
327.0,106.0,7.01,0.0,Fall 2020,utd,2
323.0,90.0,8.42,2.0,Fall 2020,utd,2
310.0,109.0,85.93,6.0,Fall 2020,utd,2
310.0,105.0,8.6,30.0,Fall 2020,utd,2
320.0,114.0,8.3,0.0,Fall 2020,utd,2
315.0,104.0,8.7,49.0,Fall 2020,utd,2
323.0,112.0,8.5,0.0,Fall 2020,utd,2
310.0,101.0,8.8,1.0,Fall 2020,utd,2
316.0,104.0,8.82,32.0,Fall 2020,utd,2
312.0,102.0,9.5,0.0,Fall 2020,utd,2
308.0,93.0,8.27,0.0,Fall 2020,utd,2
316.0,99.0,9.4,0.0,Fall 2020,utd,2
314.0,107.0,9.36,18.0,Fall 2020,utd,2
318.0,108.0,8.45,55.0,Fall 2020,utd,2
329.0,110.0,7.15,32.0,Fall 2020,utd,2
324.0,106.0,7.26,0.0,Fall 2020,utd,2
309.0,101.0,8.51,0.0,Fall 2020,utd,2
312.0,95.0,9.1,22.0,Fall 2020,utd,2
313.0,108.0,8.12,6.0,Fall 2020,utd,2
324.0,113.0,8.34,0.0,Fall 2020,utd,2
317.0,105.0,8.3,22.0,Fall 2020,utd,2
314.0,0.0,7.71,16.0,Fall 2020,utd,2
321.0,102.0,7.87,2.0,Fall 2020,utd,2
313.0,100.0,8.3,14.0,Fall 2020,utd,2
309.0,97.0,8.76,0.0,Fall 2020,utd,2
311.0,105.0,8.61,-15.0,Fall 2020,utd,2
320.0,115.0,7.95,8.0,Fall 2020,utd,2
315.0,106.0,8.64,49.0,Fall 2020,utd,2
310.0,96.0,7.28,0.0,Fall 2020,utd,2
328.0,107.0,7.8,0.0,Fall 2020,utd,2
316.0,108.0,8.32,17.0,Fall 2020,utd,2
310.0,98.0,9.5,0.0,Fall 2020,utd,2
326.0,109.0,8.23,28.0,Fall 2020,utd,2
313.0,112.0,91.0,15.0,Fall 2020,utd,2
318.0,108.0,8.67,28.0,Fall 2020,utd,2
309.0,109.0,9.48,10.0,Fall 2020,utd,2
313.0,111.0,8.94,3.0,Fall 2020,utd,2
317.0,106.0,8.24,13.0,Fall 2020,utd,2
307.0,93.0,9.0,6.0,Fall 2020,utd,2
318.0,109.0,9.29,7.0,Fall 2020,utd,2
318.0,100.0,82.8,26.0,Fall 2020,utd,2
321.0,114.0,9.56,0.0,Fall 2020,utd,2
318.0,101.0,7.88,34.0,Fall 2020,utd,2
315.0,102.0,8.98,31.0,Fall 2020,utd,2
310.0,106.0,8.41,0.0,Fall 2020,utd,2
316.0,93.0,79.6,19.0,Fall 2020,utd,2
313.0,105.0,8.8,1.0,Fall 2020,utd,2
321.0,106.0,7.98,2.0,Fall 2020,utd,2
316.0,103.0,7.1,13.0,Fall 2020,utd,2
321.0,107.0,5.5,0.0,Fall 2020,utd,2
321.0,117.0,8.9,14.0,Fall 2020,utd,2
312.0,101.0,8.2,25.0,Fall 2020,utd,2
322.0,110.0,9.0,7.0,Fall 2020,utd,2
312.0,101.0,79.25,14.0,Fall 2020,utd,2
305.0,105.0,9.5,76.0,Fall 2020,utd,2
319.0,107.0,8.35,30.0,Fall 2020,utd,2
312.0,113.0,8.6,2.0,Fall 2020,utd,2
317.0,114.0,8.66,0.0,Fall 2020,utd,2
316.0,97.0,73.27,15.0,Fall 2020,utd,2
320.0,102.0,8.11,27.0,Fall 2020,utd,2
319.0,109.0,9.0,21.0,Fall 2020,utd,2
316.0,113.0,8.17,21.0,Fall 2020,utd,2
307.0,101.0,8.8,28.0,Fall 2020,utd,2
312.0,114.0,9.26,21.0,Fall 2020,utd,2
320.0,99.0,7.75,40.0,Fall 2020,utd,2
325.0,113.0,8.82,12.0,Fall 2020,utd,2
319.0,97.0,9.538,25.0,Fall 2020,utd,2
315.0,114.0,7.8,0.0,Fall 2020,utd,2
317.0,105.0,75.0,17.0,Fall 2020,utd,2
322.0,106.0,8.23,8.0,Fall 2020,utd,2
319.0,108.0,8.68,7.0,Fall 2020,utd,2
319.0,107.0,7.24,2.0,Fall 2020,utd,2
310.0,87.0,7.3,20.0,Fall 2020,utd,2
310.0,105.0,8.2,0.0,Fall 2020,utd,2
306.0,96.0,9.73,7.0,Fall 2020,utd,2
310.0,101.0,88.0,24.0,Fall 2020,utd,2
317.0,101.0,8.0,19.0,Fall 2020,utd,2
318.0,92.0,7.0,15.0,Fall 2020,utd,2
317.0,109.0,8.5,29.0,Fall 2020,utd,2
319.0,96.0,8.2,18.0,Fall 2019,utd,2
310.0,96.0,8.55,6.0,Fall 2020,utd,2
313.0,109.0,8.9,45.0,Fall 2020,utd,2
304.0,89.0,9.36,0.0,Fall 2020,utd,2
315.0,114.0,8.77,0.0,Fall 2020,utd,2
318.0,114.0,8.53,10.0,Fall 2020,utd,2
324.0,107.0,9.1,0.0,Fall 2020,utd,2
316.0,111.0,72.6,15.0,Fall 2020,utd,2
316.0,101.0,8.58,0.0,Fall 2020,utd,2
320.0,108.0,8.8,18.0,Fall 2020,utd,2
305.0,91.0,8.817,23.0,Fall 2020,utd,2
310.0,97.0,7.84,31.0,Fall 2020,utd,2
314.0,109.0,74.0,49.0,Fall 2020,utd,2
319.0,99.0,8.96,15.0,Fall 2020,utd,2
311.0,100.0,8.6,2.0,Fall 2020,utd,2
326.0,112.0,8.19,30.0,Fall 2020,utd,2
326.0,109.0,7.08,27.0,Fall 2020,utd,2
