GRE,IELTS,TOEFL,UNDERGRAD,WORK EX,YEAR,UNIVERSITY,STATUS
299.0,7.0,,8.12,0.0,Fall 2020,utd,3
300.0,6.5,,7.21,26.0,Fall 2020,utd,3
302.0,8.0,,6.8,29.0,Fall 2020,utd,3
305.0,,98.0,8.1,2.0,Fall 2020,utd,3
310.0,,90.0,7.34,6.0,Fall 2020,utd,3
314.0,,99.0,7.01,11.0,Fall 2020,utd,3
310.0,,105.0,7.14,1.0,Fall 2020,utd,3
307.0,6.5,,77.0,8.0,Fall 2020,utd,3
305.0,,95.0,7.75,42.0,Fall 2020,utd,3
309.0,,100.0,72.5,14.0,Fall 2020,utd,3
309.0,,80.0,3.22,0.0,Fall 2020,utd,3
322.0,8.0,,7.92,2.0,Fall 2020,utd,3
319.0,,110.0,75.5,16.0,Fall 2020,utd,3
309.0,,98.0,8.25,13.0,Fall 2020,utd,3
308.0,,106.0,7.71,26.0,Fall 2020,utd,3
305.0,,97.0,8.6,18.0,Fall 2020,utd,3
316.0,,86.0,7.65,48.0,Fall 2019,utd,3
303.0,,102.0,8.68,2.0,Fall 2020,utd,3
315.0,,105.0,73.47,16.0,Fall 2020,utd,3
317.0,,106.0,7.71,2.0,Fall 2020,utd,3
306.0,,92.0,7.32,6.0,Fall 2020,utd,3
325.0,,105.0,8.17,18.0,Fall 2019,utd,3
305.0,,93.0,64.5,95.0,Fall 2020,utd,3
312.0,,107.0,67.0,24.0,Fall 2020,utd,3
313.0,,98.0,78.0,40.0,Fall 2020,utd,3
307.0,7.0,,8.4,22.0,Fall 2020,utd,3
315.0,,99.0,7.46,18.0,Fall 2020,utd,3
308.0,7.5,,8.05,1.0,Fall 2020,utd,3
300.0,,88.0,7.89,49.0,Fall 2020,utd,3
308.0,,107.0,6.79,18.0,Fall 2020,utd,3
319.0,,100.0,74.0,15.0,Fall 2020,utd,3
313.0,,97.0,7.24,17.0,Fall 2020,utd,3
318.0,,107.0,6.7,19.0,Fall 2020,utd,3
311.0,7.0,,7.88,1.0,Fall 2020,utd,3
307.0,,96.0,74.32,35.0,Fall 2020,utd,3
313.0,,107.0,7.89,0.0,Fall 2020,utd,3
305.0,,96.0,8.0,36.0,Fall 2020,utd,3
313.0,,110.0,75.0,20.0,Fall 2020,utd,3
302.0,,90.0,8.5,17.0,Fall 2020,utd,3
314.0,,96.0,77.0,31.0,Fall 2020,utd,3
311.0,7.5,,7.99,16.0,Fall 2020,utd,3
316.0,7.5,,7.8,19.0,Fall 2020,utd,3
310.0,,90.0,7.37,18.0,Fall 2020,utd,3
,,85.0,62.0,45.0,Fall 2020,utd,3
316.0,7.5,,72.0,21.0,Fall 2020,utd,3
316.0,7.0,,7.808,12.0,Fall 2020,utd,3
315.0,7.5,,7.54,4.0,Fall 2020,utd,3
311.0,7.5,,7.61,0.0,Fall 2020,utd,3
308.0,,92.0,7.2,31.0,Fall 2020,utd,3
308.0,,97.0,67.7,17.0,Fall 2020,utd,3
313.0,,111.0,7.93,0.0,Fall 2020,utd,3
316.0,,103.0,7.59,24.0,Fall 2020,utd,3
333.0,,117.0,7.35,42.0,Fall 2020,utd,3
311.0,,94.0,7.8,26.0,Fall 2020,utd,3
314.0,,98.0,60.0,14.0,Fall 2020,utd,3
320.0,,102.0,76.0,8.0,Fall 2020,utd,3
322.0,,110.0,6.3,1.0,Fall 2020,utd,3
321.0,,116.0,72.0,35.0,Fall 2020,utd,3
314.0,8.0,,68.0,20.0,Fall 2020,utd,3
307.0,,85.0,66.5,44.0,Fall 2020,utd,3
307.0,,101.0,7.8,15.0,Fall 2020,utd,3
314.0,,104.0,7.5,12.0,Fall 2020,utd,3
312.0,,96.0,61.72,8.0,Fall 2020,utd,3
306.0,,104.0,7.71,24.0,Fall 2020,utd,3
306.0,,93.0,7.6,0.0,Fall 2020,utd,3
309.0,,105.0,7.47,0.0,Fall 2020,utd,3
309.0,,99.0,75.3,19.0,Fall 2020,utd,3
311.0,8.0,,7.7,1.0,Fall 2020,utd,3
329.0,,116.0,7.62,1.0,Fall 2020,utd,3
320.0,7.5,,75.0,56.0,Fall 2020,utd,3
313.0,7.5,,64.0,28.0,Fall 2020,utd,3
309.0,,97.0,7.27,14.0,Fall 2020,utd,3
308.0,,100.0,7.5,10.0,Fall 2020,utd,3
310.0,,104.0,60.0,12.0,Fall 2020,utd,3
324.0,,112.0,7.6,3.0,Fall 2020,utd,3
310.0,7.0,,74.0,48.0,Fall 2020,utd,3
300.0,,96.0,8.33,54.0,Fall 2020,utd,3
325.0,7.5,,7.48,37.0,Fall 2020,utd,3
314.0,,104.0,7.87,3.0,Fall 2020,utd,3
313.0,,101.0,7.61,41.0,Fall 2020,utd,3
321.0,,103.0,73.58,31.0,Fall 2020,utd,3
303.0,,87.0,7.5,0.0,Fall 2020,utd,3
306.0,,97.0,7.84,3.0,Fall 2020,utd,3
306.0,6.5,,7.2,29.0,Fall 2020,utd,3
316.0,,90.0,67.0,50.0,Fall 2020,utd,3
306.0,,90.0,6.94,3.0,Fall 2020,utd,3
315.0,,101.0,8.42,2.0,Fall 2020,utd,3
314.0,,102.0,8.01,35.0,Fall 2020,utd,3
306.0,,99.0,9.2,0.0,Fall 2020,utd,3
303.0,7.5,,8.42,0.0,Spring 2021,utd,3
311.0,7.5,,7.7,11.0,Fall 2020,utd,3
301.0,,92.0,8.07,0.0,Fall 2020,utd,3
303.0,,91.0,7.1,55.0,Fall 2020,utd,3
311.0,7.0,,76.0,24.0,Fall 2020,utd,3
304.0,7.0,,69.0,43.0,Fall 2020,utd,3
324.0,8.0,,66.7,38.0,Fall 2020,utd,3
305.0,,84.0,61.0,8.0,Fall 2020,utd,3
317.0,,88.0,8.27,10.0,Fall 2020,utd,3
299.0,,100.0,73.4,51.0,Fall 2020,utd,3
303.0,,84.0,7.19,2.0,Fall 2020,utd,3
315.0,,100.0,6.52,40.0,Fall 2020,utd,3
321.0,,106.0,6.6,12.0,Fall 2020,utd,3
319.0,,102.0,7.82,17.0,Fall 2020,utd,3
319.0,7.0,,8.05,20.0,Fall 2020,utd,3
315.0,,95.0,7.3,51.0,Fall 2020,utd,3
317.0,8.0,,7.25,12.0,Fall 2020,utd,3
322.0,,107.0,7.03,40.0,Fall 2020,utd,3
315.0,,96.0,7.19,5.0,Fall 2020,utd,3
320.0,,116.0,71.8,12.0,Fall 2020,utd,3
309.0,,91.0,64.0,48.0,Fall 2020,utd,3
317.0,,104.0,76.08,30.0,Fall 2020,utd,3
320.0,,105.0,7.12,0.0,Fall 2020,utd,3
306.0,8.0,,7.8,20.0,Fall 2020,utd,3
311.0,,100.0,61.89,15.0,Fall 2020,utd,3
316.0,,105.0,7.1,3.0,Fall 2020,utd,3
300.0,,97.0,8.1,12.0,Fall 2020,utd,3
319.0,,95.0,71.0,47.0,Fall 2020,utd,3
309.0,,91.0,9.18,10.0,Fall 2020,utd,3
307.0,,95.0,8.12,2.0,Fall 2020,utd,3
295.0,6.5,,7.4,60.0,Fall 2020,utd,3
304.0,7.5,,7.77,17.0,Fall 2020,utd,3
316.0,,101.0,7.74,19.0,Fall 2020,utd,3
300.0,7.0,,8.87,9.0,Fall 2020,utd,3
318.0,,98.0,71.14,28.0,Fall 2020,utd,3
304.0,7.5,,69.0,28.0,Fall 2020,utd,3
309.0,,91.0,7.24,0.0,Fall 2020,utd,3
302.0,,105.0,8.53,0.0,Fall 2020,utd,3
315.0,,103.0,7.8,29.0,Fall 2020,utd,3
315.0,,108.0,7.74,5.0,Fall 2020,utd,3
313.0,,98.0,7.35,22.0,Fall 2020,utd,3
306.0,7.5,,8.22,18.0,Fall 2020,utd,3
317.0,8.0,,7.87,8.0,Fall 2020,utd,3
316.0,,114.0,7.73,14.0,Fall 2020,utd,3
298.0,7.0,,76.0,6.0,Fall 2020,utd,3
303.0,,103.0,7.9,6.0,Fall 2020,utd,3
310.0,,96.0,7.26,0.0,Fall 2020,utd,3
316.0,,89.0,7.6,10.0,Fall 2020,utd,3
308.0,7.0,,75.0,12.0,Fall 2020,utd,3
305.0,,105.0,8.0,60.0,Fall 2020,utd,3
302.0,7.5,,7.25,5.0,Fall 2020,utd,3
310.0,,105.0,6.29,21.0,Fall 2020,utd,3
319.0,,97.0,7.41,16.0,Fall 2020,utd,3
309.0,,99.0,7.88,38.0,Fall 2020,utd,3
311.0,8.0,,67.0,44.0,Fall 2020,utd,3
314.0,,111.0,7.01,2.0,Fall 2020,utd,3
306.0,,101.0,8.2,38.0,Spring 2020,utd,3
310.0,,96.0,6.43,33.0,Fall 2020,utd,3
300.0,7.5,,8.7,0.0,Fall 2019,utd,3
311.0,,101.0,71.1,27.0,Fall 2020,utd,3
302.0,,91.0,62.0,27.0,Fall 2020,utd,3
307.0,,92.0,7.1,14.0,Fall 2020,utd,3
308.0,,96.0,67.1,19.0,Fall 2020,utd,3
310.0,,113.0,70.8,15.0,Fall 2020,utd,3
319.0,8.0,,7.95,2.0,Fall 2020,utd,3
313.0,,101.0,7.78,40.0,Fall 2020,utd,3
318.0,,96.0,7.3,31.0,Fall 2020,utd,3
298.0,7.5,,7.1,3.0,Fall 2020,utd,3
310.0,,107.0,8.04,24.0,Fall 2020,utd,3
308.0,,105.0,7.9,16.0,Fall 2020,utd,3
303.0,,91.0,7.75,18.0,Fall 2020,utd,3
312.0,8.0,,83.4,18.0,Fall 2020,utd,3
305.0,,103.0,8.0,0.0,Fall 2020,utd,3
315.0,,102.0,7.96,5.0,Fall 2020,utd,3
